"coverage_id","tiv"
1,1e+06
2,1e+06
3,1e+06
4,1e+06
5,1e+06
6,1e+06
7,1e+06
8,1e+06
9,1e+06
10,1e+06
11,1e+06
12,1e+06
13,1e+06
14,1e+06
15,1e+06
16,1e+06
17,1e+06
18,1e+06
19,1e+06
20,1e+06
21,1e+06
22,1e+06
23,1e+06
24,1e+06
25,1e+06
26,1e+06
27,1e+06
28,1e+06
29,1e+06
30,1e+06
31,1e+06
32,1e+06
33,1e+06
34,1e+06
35,1e+06
36,1e+06
37,1e+06
38,1e+06
39,1e+06
40,1e+06
41,1e+06
42,1e+06
43,1e+06
44,1e+06
45,1e+06
46,1e+06
47,1e+06
48,1e+06
49,1e+06
50,1e+06
51,1e+06
52,1e+06
53,1e+06
54,1e+06
55,1e+06
56,1e+06
57,1e+06
58,1e+06
59,1e+06
60,1e+06
61,1e+06
62,1e+06
63,1e+06
64,1e+06
65,1e+06
66,1e+06
67,1e+06
68,1e+06
69,1e+06
70,1e+06
71,1e+06
72,1e+06
73,1e+06
74,1e+06
75,1e+06
76,1e+06
77,1e+06
78,1e+06
79,1e+06
80,1e+06
81,1e+06
82,1e+06
83,1e+06
84,1e+06
85,1e+06
86,1e+06
87,1e+06
88,1e+06
89,1e+06
90,1e+06
91,1e+06
92,1e+06
93,1e+06
94,1e+06
95,1e+06
96,1e+06
97,1e+06
98,1e+06
99,1e+06
100,1e+06
101,1e+06
102,1e+06
103,1e+06
104,1e+06
105,1e+06
106,1e+06
107,1e+06
108,1e+06
109,1e+06
110,1e+06
111,1e+06
112,1e+06
113,1e+06
114,1e+06
115,1e+06
116,1e+06
117,1e+06
118,1e+06
119,1e+06
120,1e+06
121,1e+06
122,1e+06
123,1e+06
124,1e+06
125,1e+06
126,1e+06
127,1e+06
128,1e+06
129,1e+06
130,1e+06
131,1e+06
132,1e+06
133,1e+06
134,1e+06
135,1e+06
136,1e+06
137,1e+06
138,1e+06
139,1e+06
140,1e+06
141,1e+06
142,1e+06
143,1e+06
144,1e+06
145,1e+06
146,1e+06
147,1e+06
148,1e+06
149,1e+06
150,1e+06
151,1e+06
152,1e+06
153,1e+06
154,1e+06
155,1e+06
156,1e+06
157,1e+06
158,1e+06
159,1e+06
160,1e+06
161,1e+06
162,1e+06
163,1e+06
164,1e+06
165,1e+06
166,1e+06
167,1e+06
168,1e+06
169,1e+06
170,1e+06
171,1e+06
172,1e+06
173,1e+06
174,1e+06
175,1e+06
176,1e+06
177,1e+06
178,1e+06
179,1e+06
180,1e+06
181,1e+06
182,1e+06
183,1e+06
184,1e+06
185,1e+06
186,1e+06
187,1e+06
188,1e+06
189,1e+06
190,1e+06
191,1e+06
192,1e+06
193,1e+06
194,1e+06
195,1e+06
196,1e+06
197,1e+06
198,1e+06
199,1e+06
200,1e+06
201,1e+06
202,1e+06
203,1e+06
204,1e+06
205,1e+06
206,1e+06
207,1e+06
208,1e+06
209,1e+06
210,1e+06
211,1e+06
212,1e+06
213,1e+06
214,1e+06
